method,n_train,n_test,rmse,mae,r2,max_error,train_time,predict_time,noise_snr,normalized,config_kernel,config_smoothing,config_kx,config_ky,config_kernel_type,config_alpha,config_n_restarts_optimizer
rbf,20,5,4.392851509446401,2.2335119383421747,0.9513085790627863,9.792273460907992,0.002789020538330078,9.107589721679688e-05,,True,thin_plate_spline,0.0,,,,,
spline,20,5,233.84530288495543,107.07827541625036,-136.98017900645252,522.8485503567213,0.0009486675262451172,4.482269287109375e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,18.26614871089437,8.5178485086544,0.15811382012385655,40.83253038678314,0.3740510940551758,0.0008182525634765625,,True,,,,,rbf,1e-06,5.0
rbf,20,5,1.9064681499904006,1.3986072971260302,0.7859026416345632,3.758854869939041,0.00067138671875,0.00010633468627929688,,True,thin_plate_spline,0.0,,,,,
spline,20,5,36.14900596275576,19.415402548253425,-75.97415307828435,79.52193275316755,0.0004036426544189453,5.745887756347656e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,1.9044377431213053,1.3225914140599275,0.7863584302767387,3.8061271655443942,0.5061731338500977,0.0008761882781982422,,True,,,,,rbf,1e-06,5.0
rbf,20,5,13.329161413913544,10.103956165257083,0.32428765595554965,21.54247963394854,0.0007467269897460938,0.00011944770812988281,,True,thin_plate_spline,0.0,,,,,
spline,20,5,224.98395592177766,122.99170294576564,-191.51266045775233,489.55662358230364,0.0006887912750244141,9.417533874511719e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,22.265838615507203,15.42773268874879,-0.8855337576883764,42.87436033903345,0.5270519256591797,0.0009527206420898438,,True,,,,,rbf,1e-06,5.0
rbf,20,5,0.9092145186081637,0.7035727837094893,0.965301696571887,1.4078243648697288,0.0008614063262939453,0.00012159347534179688,,True,thin_plate_spline,0.0,,,,,
spline,20,5,2.022451070545213,1.679402950194477,0.8283153120995828,3.7197496532094236,0.0004992485046386719,6.866455078125e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,1.8592679935760748,1.6099960388676124,0.8549026426375924,2.511942617615923,0.4435999393463135,0.0008335113525390625,,True,,,,,rbf,1e-06,5.0
rbf,20,5,1.5398479820665605,1.1358623769073508,0.9815052549621781,2.3560758882110093,0.0014758110046386719,0.0001232624053955078,,True,thin_plate_spline,0.0,,,,,
spline,20,5,1.8168294668197702,1.5683742500391307,0.9742533350036858,2.427417568336274,0.0004930496215820312,8.726119995117188e-05,,True,,0.0,3.0,3.0,,,
kriging,20,5,1.6686946639280669,1.2945105844335958,0.9782806708707593,2.997387116558688,0.46996212005615234,0.0008330345153808594,,True,,,,,rbf,1e-06,5.0
rbf,30,7,14.04696861922727,9.636649801255762,0.5912769865905616,29.952620365119202,0.007233619689941406,0.00014472007751464844,,True,thin_plate_spline,0.0,,,,,
spline,30,7,34.03482571682585,20.82617333564293,-1.3994457170467607,80.7609613314423,0.0007727146148681641,8.153915405273438e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,18.046275222853374,12.486096042862728,0.32541136508044144,40.41047514560823,0.5902881622314453,0.0008924007415771484,,True,,,,,rbf,1e-06,5.0
rbf,30,7,2.882691319871999,1.3258032878935337,0.9781325110867066,7.576592070696094,0.01923227310180664,0.00021600723266601562,,True,thin_plate_spline,0.0,,,,,
spline,30,7,85.19469928378169,33.474367502582375,-18.099754402611918,225.37046300823974,0.0008091926574707031,7.772445678710938e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,11.314776751544727,4.52413484115722,0.6631049630535719,29.918030637250908,0.5675852298736572,0.0008761882781982422,,True,,,,,rbf,1e-06,5.0
rbf,30,7,7.125700301871294,3.95544572946789,0.8928566076721802,17.871246884301613,0.024237871170043945,0.00020694732666015625,,True,thin_plate_spline,0.0,,,,,
spline,30,7,139.27541000041973,67.4245647400401,-39.9316431214103,361.1098488104586,0.000720977783203125,0.00012063980102539062,,True,,0.0,3.0,3.0,,,
kriging,30,7,7.485009829915325,3.413673498030671,0.8817788886300805,19.636681036318024,0.5147066116333008,0.0009043216705322266,,True,,,,,rbf,1e-06,5.0
rbf,30,7,3.523370084895857,2.084353886837375,0.9714440897779103,8.607863579515726,0.006252288818359375,0.0001556873321533203,,True,thin_plate_spline,0.0,,,,,
spline,30,7,3.3489043612239398,2.4104402370386375,0.9742020633077756,7.2795585654962345,0.0006711483001708984,6.890296936035156e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,3.0961777115511087,1.8624644924525822,0.9779488500495418,6.978932776141907,0.5149075984954834,0.0011882781982421875,,True,,,,,rbf,1e-06,5.0
rbf,30,7,3.1235179819271033,1.8459529771699246,0.9678783236019407,6.9719132087276705,0.001562356948852539,0.0001289844512939453,,True,thin_plate_spline,0.0,,,,,
spline,30,7,1.9626416733778662,1.561663500226589,0.9873178696159484,4.150155301148805,0.0005209445953369141,6.270408630371094e-05,,True,,0.0,3.0,3.0,,,
kriging,30,7,1.5557575932492322,0.9636986933934512,0.9920311795743639,3.842217025462702,0.47062110900878906,0.0008335113525390625,,True,,,,,rbf,1e-06,5.0
rbf,50,12,0.9158104141056407,0.5401458390734937,0.9954200682420615,2.004975681299193,0.009871482849121094,0.00018334388732910156,,True,thin_plate_spline,0.0,,,,,
spline,50,12,6.140352516973178,2.7119631696055717,0.7941103758991053,19.407297298984204,0.0011544227600097656,7.724761962890625e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,0.9201509815534804,0.6752159672814727,0.9953765513465163,2.3695772024392436,1.8685741424560547,0.0009539127349853516,,True,,,,,rbf,1e-06,5.0
rbf,50,12,2.6526969429554144,1.2671377333930305,0.9837734593788003,6.616118152109657,0.08763623237609863,0.0002849102020263672,,True,thin_plate_spline,0.0,,,,,
spline,50,12,3.9409486836045513,1.9924546871216817,0.9641860496546011,12.272625290868241,0.0009577274322509766,6.723403930664062e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,3.0303660315854883,1.4584999566878183,0.9788241502949796,9.878471538947053,2.281923770904541,0.0013611316680908203,,True,,,,,rbf,1e-06,5.0
rbf,50,12,4.241107763967656,2.1794117134472653,0.9307793827468462,13.140749763052582,0.4315452575683594,0.0002868175506591797,,True,thin_plate_spline,0.0,,,,,
spline,50,12,54.02288233386783,18.8375799472131,-10.231360201034976,184.46646641393383,0.0027921199798583984,8.726119995117188e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,8.488727892217574,3.9601390103916287,0.7226922053873157,28.30958797744596,2.460344076156616,0.005992412567138672,,True,,,,,rbf,1e-06,5.0
rbf,50,12,1.724743451481996,1.1759017412943102,0.9711377773046228,3.910460788086283,0.07033300399780273,0.00030541419982910156,,True,thin_plate_spline,0.0,,,,,
spline,50,12,16.196223481994892,6.034501448575955,-1.5451201266110695,55.53736154949041,0.01146388053894043,7.271766662597656e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,0.9480669440769274,0.6365872169335772,0.9912791508797767,2.5633111820659575,2.0577783584594727,0.0009260177612304688,,True,,,,,rbf,1e-06,5.0
rbf,50,12,0.6402394104716087,0.34427928480907233,0.9948175990832513,2.086222956020869,0.01542043685913086,0.0001804828643798828,,True,thin_plate_spline,0.0,,,,,
spline,50,12,2.9399694771668754,1.64412889992008,0.8907222252783857,7.129742206974612,0.0010693073272705078,7.271766662597656e-05,,True,,0.0,3.0,3.0,,,
kriging,50,12,0.4994331423184857,0.38640711931347926,0.9968464413175041,1.2182356137908474,1.20784592628479,0.0010242462158203125,,True,,,,,rbf,1e-06,5.0
rbf,75,18,2.821462769041702,1.6429933185372076,0.9766809783530398,7.0761178845331045,0.11446666717529297,0.00032520294189453125,,True,thin_plate_spline,0.0,,,,,
spline,75,18,20018.686147893444,4912.943706861505,-1173903.6405016207,84901.9534003387,0.0020787715911865234,8.0108642578125e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,2.5501847756248903,1.4663513936757817,0.9809495615590813,8.158161616186348,1.92983078956604,0.0011246204376220703,,True,,,,,rbf,1e-06,5.0
rbf,75,18,0.4725797846209303,0.22035897639695878,0.9898021142503365,1.9100861536568914,0.19882607460021973,0.0003457069396972656,,True,thin_plate_spline,0.0,,,,,
spline,75,18,1.075949574201779,0.5833163158394714,0.9471379868867751,3.125053921004895,0.0023746490478515625,9.846687316894531e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,0.7389257571605027,0.5113976430854257,0.9750677500222963,2.447365679336169,3.3295764923095703,0.01432347297668457,,True,,,,,rbf,1e-06,5.0
rbf,75,18,0.845220004787831,0.4338295276279156,0.9942988575599774,3.166464090455058,0.6728954315185547,0.0003654956817626953,,True,thin_plate_spline,0.0,,,,,
spline,75,18,0.9167895295802433,0.5346038683400828,0.9932924850976294,3.430200795000708,0.008513212203979492,0.00011944770812988281,,True,,0.0,3.0,3.0,,,
kriging,75,18,0.8187028183921173,0.5076323856498818,0.9946509713038851,2.29541428237615,1.7499785423278809,0.0010249614715576172,,True,,,,,rbf,1e-06,5.0
rbf,75,18,0.8608811398797023,0.45431973156837036,0.9907121213749311,3.1078890005383606,0.21713566780090332,0.0003685951232910156,,True,thin_plate_spline,0.0,,,,,
spline,75,18,1.0642475952646293,0.6760043030652528,0.9858056503319551,3.4552350478317635,0.0019011497497558594,7.700920104980469e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,0.8839912627493488,0.6260667629601104,0.9902067669499915,2.606172787154229,1.4678587913513184,0.0011260509490966797,,True,,,,,rbf,1e-06,5.0
rbf,75,18,1.283030981030906,0.871052558255926,0.9919700404716058,2.7668521534108415,0.18431901931762695,0.0003275871276855469,,True,thin_plate_spline,0.0,,,,,
spline,75,18,28.70465131039076,8.283094106614788,-3.0192370495752883,120.89843497833915,0.002156496047973633,7.796287536621094e-05,,True,,0.0,3.0,3.0,,,
kriging,75,18,1.4191350973646613,0.9193147908879123,0.9901760407646016,3.65186787776675,1.518158197402954,0.0010228157043457031,,True,,,,,rbf,1e-06,5.0
rbf,100,25,2.821261197207904,0.8656529769796356,0.9620768330426414,13.71500039075238,0.011734485626220703,0.00035071372985839844,,True,thin_plate_spline,0.0,,,,,
spline,100,25,42.14330775185754,8.911877037110232,-7.462043348135303,210.67057277495314,0.003580331802368164,8.702278137207031e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,2.024665670134215,0.9502213377962869,0.98046899259141,8.959703141615371,2.434638500213623,0.0010929107666015625,,True,,,,,rbf,1e-06,5.0
rbf,100,25,1.3696492913717517,0.7827890209910103,0.9880674782062703,4.587021964867375,0.16481590270996094,0.00044417381286621094,,True,thin_plate_spline,0.0,,,,,
spline,100,25,249.70280636052254,60.8730625151919,-395.6069575397418,1222.7087780085292,0.003774404525756836,9.632110595703125e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,1.060948043012956,0.6453774764204223,0.9928401864309871,4.152630164014383,2.3027572631835938,0.0021054744720458984,,True,,,,,rbf,1e-06,5.0
rbf,100,25,1.422293940986297,0.7371382010489964,0.9924525809545612,5.676934922545705,0.041367292404174805,0.0004138946533203125,,True,thin_plate_spline,0.0,,,,,
spline,100,25,69.04392978115364,39.99002990133491,-16.78569120997122,281.7942865055689,0.00579524040222168,8.749961853027344e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,0.9830224414397982,0.6758829252514776,0.9963946568325882,3.1829674254411273,2.9665462970733643,0.0010838508605957031,,True,,,,,rbf,1e-06,5.0
rbf,100,25,1.9302153039804761,0.8742610296720404,0.9894890367121845,6.734931735140584,0.273207426071167,0.0004544258117675781,,True,thin_plate_spline,0.0,,,,,
spline,100,25,270.25134889797954,54.671123345814586,-205.04721579154213,1351.2374337277936,0.0037374496459960938,9.083747863769531e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,1.9320939500932066,1.065315419952595,0.9894685664675532,5.734549163988554,4.229519367218018,0.0010900497436523438,,True,,,,,rbf,1e-06,5.0
rbf,100,25,0.5952561042275648,0.3387993815118817,0.9971456390202095,1.9710486091344883,0.25384521484375,0.00044536590576171875,,True,thin_plate_spline,0.0,,,,,
spline,100,25,419.46152458076716,94.95331552332568,-1416.377199945762,2080.2349366550816,0.0025980472564697266,8.487701416015625e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,0.7585129334671054,0.5498043625991421,0.9953652409502067,1.6741830741506867,2.6976184844970703,0.0014796257019042969,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.659379892298116,0.6474553062536359,0.9881140533092012,9.155305425329573,0.17045807838439941,0.0007176399230957031,,True,thin_plate_spline,0.0,,,,,
spline,150,37,717009.7820877967,117930.69324421759,-2219178790.3825,4361399.804128604,0.011876344680786133,0.00014448165893554688,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.9045720605965312,0.5424739022366811,0.9964679367588422,3.1442087608141165,3.3473939895629883,0.0015103816986083984,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.155547886641053,0.6292245599910242,0.9939124269497214,4.592243193726521,0.688115119934082,0.0007033348083496094,,True,thin_plate_spline,0.0,,,,,
spline,150,37,86.20151642796432,19.594909118808403,-32.876466301518185,517.6462849238948,0.02359318733215332,9.965896606445312e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,1.1666912967574012,0.8005590120289172,0.9937944510349389,3.385694416185377,3.122640609741211,0.0014066696166992188,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.4108307287282567,0.661596426909907,0.9908971335607305,6.447426295378833,0.3848910331726074,0.0007100105285644531,,True,thin_plate_spline,0.0,,,,,
spline,150,37,337.1413568682873,133.94622711053853,-518.819312808886,1259.8670903850596,0.011795997619628906,0.00010251998901367188,,True,,0.0,3.0,3.0,,,
kriging,150,37,1.2420728447276324,0.6529374868658111,0.9929445863009545,6.2395450453424814,3.6324384212493896,0.0014030933380126953,,True,,,,,rbf,1e-06,5.0
rbf,150,37,2.079936526005181,0.8458388614010132,0.9779436444892026,9.272050213152358,0.5183837413787842,0.0007216930389404297,,True,thin_plate_spline,0.0,,,,,
spline,150,37,1.7922233063004305,0.8348257318855625,0.9836236228672262,6.94683825541005,0.0063822269439697266,9.703636169433594e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.8038289685089883,0.4836627919046715,0.9967057170653799,2.4030519822419905,4.539075136184692,0.001539468765258789,,True,,,,,rbf,1e-06,5.0
rbf,150,37,0.6705593430998661,0.33736673485804475,0.9971051366503977,2.509726306506849,0.6401736736297607,0.0007078647613525391,,True,thin_plate_spline,0.0,,,,,
spline,150,37,4.5746956526544045,1.219418370002217,0.8652657389868786,26.605413269226865,0.024013519287109375,0.00011754035949707031,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.7632587454057472,0.4574460731636815,0.996249430564451,3.3039515906132735,4.233723163604736,0.0014541149139404297,,True,,,,,rbf,1e-06,5.0
